54.210.173.210 - - "2018-02-21 06:31:17" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/46 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 06:32:18" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/47 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 06:38:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/58 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 06:44:42" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/37 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 06:49:40" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/53 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 06:50:46" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/21 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
66.249.64.95 bot - "2018-02-21 07:04:33" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/15 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
54.210.173.210 - - "2018-02-21 07:05:13" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/59 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:05:43" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/59/56 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:06:13" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/59 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:06:44" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/48 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
54.210.173.210 - - "2018-02-21 07:07:14" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/48/45 200 "BUbiNG (+http://law.di.unimi.it/BUbiNG.html)"
