66.249.64.75 bot - "2017-06-03 14:41:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/32 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.77 bot - "2017-06-03 14:46:14" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/3 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.77 bot - "2017-06-03 14:49:10" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/35 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
190.129.167.75 - - "2017-06-03 14:49:55" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/56/53 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/55.0.2883.87 Safari/537.36"
66.249.64.73 bot - "2017-06-03 14:50:37" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
66.249.64.75 bot - "2017-06-03 14:53:44" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/50/47 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.73 bot - "2017-06-03 14:59:28" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/56/53 200 "Googlebot/2.1 (+http://www.google.com/bot.html)"
180.76.15.145 bot - "2017-06-03 15:07:22" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/33/30 200 "Mozilla/5.0 (compatible; Baiduspider/2.0; +http://www.baidu.com/search/spider.html)"
35.184.189.105 - - "2017-06-03 15:14:08" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/31 200 "ltx71 - (http://ltx71.com/)"
35.184.189.105 - - "2017-06-03 15:29:09" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/7 200 "ltx71 - (http://ltx71.com/)"
35.184.189.105 - - "2017-06-03 15:33:49" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/33/30 200 "ltx71 - (http://ltx71.com/)"
190.234.144.191 - - "2017-06-03 15:34:21" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/38/35 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
35.184.189.105 - - "2017-06-03 15:40:38" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/49 200 "ltx71 - (http://ltx71.com/)"
66.249.64.75 bot - "2017-06-03 16:20:14" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/17/14 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.73 bot - "2017-06-03 16:25:19" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/48/45 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
35.184.189.105 - - "2017-06-03 16:28:41" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/44 200 "ltx71 - (http://ltx71.com/)"
181.67.111.212 - - "2017-06-03 16:29:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/38 200 "Mozilla/5.0 (Linux; Android 6.0; CAM-L23 Build/HUAWEICAM-L23) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
181.67.111.212 - - "2017-06-03 16:30:20" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/38/35 200 "Mozilla/5.0 (Linux; Android 6.0; CAM-L23 Build/HUAWEICAM-L23) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
66.249.64.73 bot - "2017-06-03 16:30:23" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/50/47 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
181.67.111.212 - - "2017-06-03 16:31:16" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/38 200 "Mozilla/5.0 (Linux; Android 6.0; CAM-L23 Build/HUAWEICAM-L23) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.83 Mobile Safari/537.36"
66.249.64.77 bot - "2017-06-03 16:35:35" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/58/55 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.75 bot - "2017-06-03 16:40:43" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/53/50 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
190.236.205.85 - - "2017-06-03 17:26:40" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/38/35 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
66.249.64.77 bot - "2017-06-03 17:31:44" http://revistas.ujcm.edu.pe/index.php/rctd/index 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
181.65.11.200 - - "2017-06-03 17:48:10" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/16/13 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
190.236.205.85 - - "2017-06-03 17:48:49" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/38 200 "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
35.184.189.105 - - "2017-06-03 17:56:36" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/52 200 "ltx71 - (http://ltx71.com/)"
181.176.57.52 - - "2017-06-03 18:15:11" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/38/35 200 "Mozilla/5.0 (Windows NT 6.1; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
35.184.189.105 - - "2017-06-03 18:29:42" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/53 200 "ltx71 - (http://ltx71.com/)"
35.184.189.105 - - "2017-06-03 18:40:43" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/3 200 "ltx71 - (http://ltx71.com/)"
66.249.64.73 bot - "2017-06-03 18:43:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/51/48 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.73 bot - "2017-06-03 18:53:05" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/43 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
35.184.189.105 - - "2017-06-03 19:01:45" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/59 200 "ltx71 - (http://ltx71.com/)"
35.184.189.105 - - "2017-06-03 19:29:13" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/4 200 "ltx71 - (http://ltx71.com/)"
190.223.60.131 - - "2017-06-03 19:37:40" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/32 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
190.223.60.131 - - "2017-06-03 19:37:49" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/32/29 200 "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/58.0.3029.110 Safari/537.36"
35.184.189.105 - - "2017-06-03 20:05:54" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/9/6 200 "ltx71 - (http://ltx71.com/)"
66.249.64.75 bot - "2017-06-03 20:24:23" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/42 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
66.249.64.75 bot - "2017-06-03 20:50:30" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/51/48 200 "Mozilla/5.0 (compatible; Googlebot/2.1; +http://www.google.com/bot.html)"
35.184.189.105 - - "2017-06-03 20:56:48" http://revistas.ujcm.edu.pe/index.php/rctd/article/download/31/28 200 "ltx71 - (http://ltx71.com/)"
35.184.189.105 - - "2017-06-03 20:57:48" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/57 200 "ltx71 - (http://ltx71.com/)"
189.250.57.101 - - "2017-06-03 21:01:37" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/50 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
189.250.57.101 - - "2017-06-03 21:02:57" http://revistas.ujcm.edu.pe/index.php/rctd/article/view/50 200 "Mozilla/5.0 (Windows NT 10.0; WOW64; rv:45.0) Gecko/20100101 Firefox/45.0"
68.180.228.223 bot - "2017-06-03 21:03:17" http://revistas.ujcm.edu.pe/index.php/rctd/issue/view/4 200 "Mozilla/5.0 (compatible; Yahoo! Slurp; http://help.yahoo.com/help/us/ysearch/slurp)"
